Question,Answer,,Question,Answer,,Question,Answer
A local seafood joint called the “Crab Shack” is a frequent setting on which of these TV sitcoms?,MY NAME IS EARL,,People traveling abroad often use GSM cell phones that use what “System for Mobile Communications”?,GLOBAL,,"In the Republican party abbreviation “GOP,” the “G” stands for what?",GRAND
"A lover of learning, as of 2010 James Franco has enrolled in all but which of these universities?",HARVARD,,People who are getting Xrays taken commonly wear protective bibs containing what metal?,LEAD,,"In the Schoolhouse Rock cartoon “Conjunction Function,” individual words are portrayed on what?",TRAIN CARS
"A lover of red meat and weaponry,Ron Swanson is Leslie Knope’s mustachioed boss on what popular sitcom?",PARKS AND RECREATION,,People who are “cyberchondriacs” obsessively use the Internet to hunt for what?,MEDICAL INFORMATION,,"In the song “Folsum Prison Blues,” Johnny Cash claims, “I shot a man in Reno” for what callous reason?",JUST TO WATCH HIM DIE
A major airport serving what U.S. city is named in honor of mayors William Berry Hartsfield and Maynard Jackson?,ATLANTA,,People who generate their own electricity or go without it are said to live how?,OFF THE GRID,,"In the song “Frosty The Snowman,” what part of Frosty’s face is made of a button?",NOSE
A medicine man named Ketut Liyer is now a popular tourist attraction in Bali thanks to his appearance in what memoir?,"EAT,PRAY,LOVE",,People who selfishly prevent others from succeeding are sometimes compared to which of these animals “in a bucket”?,CRABS,,In the U.S. a $100 bill is often referred to by what musical nickname?,C-NOTE
"A mere 4.2 light years away,what aptly-named star is our sun’s closest neighbor?",PROXIMA CENTAURI,,People would most likely use the mnemonic “Every good boy does fine” when doing what?,READING MUSIC,,"In the U.S. military, a “Black Hawk: refers to what type of vehicle?",HELICOPTER
A message that translates as “Long Live Nero” is among the ancient graffiti found at what archaeological site?,POMPEII,,"Performed to assist breathing, a tracheotomy is a surgery on what part of the body?",WINDPIPE,,"In the U.S. the companies McClatchy, Gannett, and Tribune are three of the largest owners of what?",NEWSPAPERS
"A metaphor for a tough situation, the British phrase “sticky wicket” arose from playing what game on a wet field?",CRICKET,,"Perhaps alluding to the diets of very small children,deciduous or “baby” teeth are also known as what?",MILK TEETH,,In the U.S. the federal appeals courts are divided into thirteen separate units called what?,CIRCUITS
"A microphone,camera and “powerful pink and black ensemble” are accessories for a new Barbie doll with what career?",NEWS ANCHOR,,"Perhaps as a nod to its lead singer,what classic rock band titled one of its albums “Morrison Hotel”?",THE DOORS,,In the U.S. what is the earliest date on which Memorial Day can fall?,MAY 25th
A mix of the words “marionette” and “puppet” provides the name for a set of characters created by whom?,JIM HENSON,,"Perhaps because gin was invented by a physician in Holland,alcohol is sometimes referred to as what?",DUTCH COURAGE,,"In the U.S., a bottled labeled “86 Proof” contains what percentage of alcohol?",43%
A mochaccino is traditionally made by adding what ingredient to a cappuccino?,CHOCOLATE,,"Perhaps because it’s so romantic,a full moon often triggers which of these sea creatures to reproduce?",CORAL,,"In the U.S., a car’s “zero-to-sixty” time is a measure of the car’s what?",ACCELERATION
A move called a “jackknife” is commonly performed in what sport?,DIVING,,"Perhaps best known in its computerized version,Klondike is a popular variety of what card game?",SOLITAIRE,,"In the U.S., people traditionally tie yellow ribbons around trees to show support for whom?",SOLDIERS IN COMBAT
"A movie genre characterized by dark lighting and bleak settings,”film noir” literally translates to what?",BLACK FILM,,"Perhaps putting her classical music training to use,who composed the music for the 2011 Broadway play “Stick Fly”?",ALICIA KEYS,,"In the U.S., the Sherwin-Williams company is the largest producer of what product?",PAINT
A musician can play notes on which of these instruments while inhaling?,HARMONICA,,"Perhaps to distinguish themselves,certain ketchup packets boast what descriptive word on their label?",FANCY,,"In the U.S., the small front pocket on a pair of Levi’s blue jeans is known as the what?",WATCH POCKET
"A must-have for new moms, a popular contraption for disposing of dirty diapers is called the diaper what?",GENIE,,"Perhaps to the chagrin of his female fans,in which of these movies does Brad Pitt not bare his backside?",INTERVIEW WITH THE VAMPIRE,,"In the U.S., what 20th century event preceded the start of the so-called “Baby Boom” era?",WORLD WAR II
A muumuu is a loose-fitting dress traditionally worn where?,HAWAII,,Philly locals order their city’s signature cheesesteak sandwich “wit” or “witout” what topping?,FRIED ONIONS,,"In the U.S., what flower is traditionally worn to honor one’s mother on Mother’s Day?",CARNATION
"A mythical creature blamed for killing livestock in Mexico, El Chupacabra means what in Spanish?",GOAT SUCKER,,Photos snapped in 1972 of Jane Fonda seated on an anti-aircraft gun earned the actress what infamous nickname?,HANOI JANE,,"In the U.S., which of these abbreviations both refer to the same type of professional degree?",D.D.S. AND D.M.D
"A national dish of Thailand, Pad Thai is traditionally made with all but which of these ingredients?",COCONUT MILK,,Physicist Stephen Hawking’s bestselling 1988 book on the cosmos is titled “A Brief History of” what?,TIME,,"In the U.S.,the Amish speak both English and a particular dialect of what European language?",GERMAN
"A navy pilot who was shot down in World War II,JFK’s oldest brother “JPK” was named what?",JOSEPH PATRICK KENNEDY,,Piscivorous animals feed mainly on what?,FISH,,"In the U.S.,what liquor is required to be so distilled “as to be without distinctive character,aroma,taste or color”?",VODKA
"A new spin on the BLT,the increasingly popular “BLAT” sandwich typically comes with bacon,lettuce,tomato and what?",AVOCADO,,Pixar has won Academy Awards for all but which of the following?,BEST PICTURE,,"In the U.S.,what term refers to the number 1 followed by 15 zeros?",QUADRILLION
"A new way to teach kids to ride, balance bikes are bicycles that are missing what part?",PEDALS,,Placing a blanket over a fire extinguishes it by robbing the flame of what gas?,OXYGEN,,"In the U.S.,which of these holidays falls between the Fourth of July and Thanksgiving?",LABOR DAY
"A nod to its famous horse race, what U.S. state uses the slogan “Unbridled Spirit” to market itself to visitors?",KENTUCKY,,"Played by Brendan Fraser in a 1999 movie,Dudley Do-Right is a cartoon character with what unusual day job?",CANADIAN MOUNTIE,,"IN the UK, new parents often refer to which of these everyday objects as a “pram”?",BABY CARRIAGE
A nurse takes a person’s radial pulse by feeling what part of the body?,WRIST,,"Played by Garry Shandling,which of these iconic ’90s TV characters was a neurotic late-night TV host?",LARRY SANDERS,,"In the United States,National African American History Month is celebrated when?",FEBRUARY
A pair of men’s pants measuring “30×32” has what two measurements?,"30″ WAIST, 32″ INSEAM",,"Played by Honor Blackman,the provocatively named Pussy Galore is a character in what James Bond film?",GOLDFINGER,,"In the upcoming biopic “The Iron Lady,” Meryl Streep takes on what famous female?",MARGARET THATCHER
A paper called “The Assessment of Sultriness” was used to develop what meteorological measurement?,HEAT INDEX,,"Played by Jerry Ferrara,what is the name of Vincent Chase’s hapless sidekick on the HBO series “Entourage”?",TURTLE,,"In the Washington D.C. memorial honoring him,what U.S. president is depicted in a wheelchair?",FRANKLIN ROOSEVELT
A paper clip in France is called what since it resembles that of a musical instrument in shape?,TROMBONE,,"Played by Kim Fields for all 9 seasons, Tootie on TVs “The Facts of Life” has what real first name?",DOROTHY,,"In the well-known acronym “laser,” the “L” stands for what?",LIGHT
"A part of his signature wardrobe,what celebrity chef had an edition of Crocs named after him in 2007?",MARIO BATALI,,"Played by Tony Shalhoub, the TV detective “Monk” suffers prominently from what medical condition?",OBSESSIVE-CUMPULSIVE DISORDER,,"In the Winter Olympics, females are not allowed to compete in which of these disciplines?",SKI JUMPING
A peace treaty has never been signed for which of these major conflicts?,KOREAN WAR,,"Playing himself,what TV actor pays for the burger feast at the end of “Harold & Kumar Go to White Castle”?",NEIL PATRICK HARRIS,,"In the wireless phone abbreviation “4G,” the “G” stands for what?",GENERATION
"A perennial dance favorite,a popular song by C&C Music Factory describes “Things That Make You Go” what?",HMMMM,,"Pointe shoes,also known as “toe shoes,” are commonly used in what style of dance?",BALLET,,"In the world of comics,who is Selina Kyle?",CATWOMAN
A person can drink red wine by the Red Sea on the coast of Egypt and white wine by the White Sea on the coast of what?,RUSSIA,,"Pointillism,a painting technique involving tiny dots of color,was pioneered by what French artist?",GEORGES SEURAT,,"In the world of DC Comics,Barbara Gordon is better known as what comic book superhero?",BATGIRL
A person claiming to have psychokinetic powers is supposed to be able to do what with his mind?,MOVE OBJECTS,,Pope Benedict XVI is the first pope in centuries to come from what country?,GERMANY,,"In the world of DC comics,”Edward Nigma” is the birth name of what Batman foe?",THE RIDDLER
A person flying due east from Iceland would pass over the following countries in what order?,"NORWAY, SWEDEN, FINLAND",,"Popular as a pet,the colorful freshwater betta fish is more commonly known by what fanciful nickname?",SIAMESE FIGHTING FISH,,"In the world of Greek mythology, where do the souls of the deceased lie in eternal rest?",ELYSIUM
A person is most likely to visit London’s Savile Row to shop for which of the following?,CLOTHING,,"Popular at Christmas time,mistletoe plants normally have what color berries?",WHITE,,"In the world of journalism,a piece designed to appeal to people’s emotions is often referred to as what type of “story”?",HUMAN INTEREST
